id;FECHA;HORA;ESTADO;LAT;LON;NUDOS;PRESION
1;23/08/2005;19:00:00;TD;23.1;-75.1;30;1008
2;24/08/2005;1:00:00;TD;23.4;-75.7;30;1007
3;24/08/2005;7:00:00;TD;23.8;-76.2;30;1007
4;24/08/2005;13:00:00;TS;24.5;-76.5;35;1006
5;24/08/2005;19:00:00;TS;25.4;-76.9;40;1003
6;25/08/2005;1:00:00;TS;26;-77.7;45;1000
7;25/08/2005;7:00:00;TS;26.1;-78.4;50;997
8;25/08/2005;13:00:00;TS;26.2;-79;55;994
9;25/08/2005;19:00:00;TS;26.2;-79.6;60;988
10;25/08/2005;23:30:00;HU;26;-80.1;70;984
11;26/08/2005;1:00:00;HU;25.9;-80.3;70;983
12;26/08/2005;7:00:00;HU;25.4;-81.3;65;987
13;26/08/2005;13:00:00;HU;25.1;-82;75;979
14;26/08/2005;19:00:00;HU;24.9;-82.6;85;968
15;27/08/2005;1:00:00;HU;24.6;-83.3;90;959
16;27/08/2005;7:00:00;HU;24.4;-84;95;950
17;27/08/2005;13:00:00;HU;24.4;-84.7;100;942
18;27/08/2005;19:00:00;HU;24.5;-85.3;100;948
19;28/08/2005;1:00:00;HU;24.8;-85.9;100;941
20;28/08/2005;7:00:00;HU;25.2;-86.7;125;930
21;28/08/2005;13:00:00;HU;25.7;-87.7;145;909
22;28/08/2005;19:00:00;HU;26.3;-88.6;150;902
23;29/08/2005;1:00:00;HU;27.2;-89.2;140;905
24;29/08/2005;7:00:00;HU;28.2;-89.6;125;913
25;29/08/2005;12:10:00;HU;29.3;-89.6;110;920
26;29/08/2005;13:00:00;HU;29.5;-89.6;110;923
27;29/08/2005;15:45:00;HU;30.2;-89.6;105;928
28;29/08/2005;19:00:00;HU;31.1;-89.6;80;948
29;30/08/2005;1:00:00;TS;32.6;-89.1;50;961
30;30/08/2005;7:00:00;TS;34.1;-88.6;40;978
31;30/08/2005;13:00:00;TD;35.6;-88;30;985
32;30/08/2005;19:00:00;TD;37;-87;30;990
33;31/08/2005;1:00:00;EX;38.6;-85.3;30;994
34;31/08/2005;7:00:00;EX;40.1;-82.9;25;996
